UPC,Title,Description,Size,Count,Container,Dimensions,Claims,Source_Name,Breadcrumbs,Price,Image_URL,Source_Identifier
028400160131,Lay's Barbecue Potato Chips 9.5 oz (Pack of 6),"Naturally delicious: it all starts with farm-grown potatoes--cooked in all natural oil with a dash of salt. Then we add the spicy sweetness of all natural BBQ sauce. So every lay's(r) potato chip is perfectly crispy and delicious. Happiness in every bite.(tm)
0 Grams trans fat. No msg; no preservatives; no artificial flavors. Made with all natural Ingredients. Kosher",9.5 oz,6,bag,,Trans-Fat-Free; MSG-Free; No Preservatives; No Artificial Flavors; All Natural; Kosher Certified,MASKED,,,,
028400160131,Lay's Barbecue Potato Chips 9.5 oz (Pack of 6),"Naturally delicious: it all starts with farm-grown potatoes--cooked in all natural oil with a dash of salt. Then we add the spicy sweetness of all natural BBQ sauce. So every lay's(r) potato chip is perfectly crispy and delicious. Happiness in every bite.(tm)
0 Grams trans fat. No msg; no preservatives; no artificial flavors. Made with all natural Ingredients. Kosher",9.5 oz,6,bag,,Trans-Fat-Free; MSG-Free; No Preservatives; No Artificial Flavors; All Natural; Kosher Certified,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,,https://m.media-amazon.com/images/I/41jQ-ZfT0gL.jpg,B00BYA21Y8
028400160148,Lay's® Classic Potato Chips 10 oz. Bag,"Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.
",10 oz,1,bag,,,MASKED,,,,
028400160155,Lay's® Sour Cream & Onion Potato Chips 9.5 oz. Bag,"Guaranteed fresh until printed date. Good fun! It all starts with farm-grown potatoes - cooked and seasoned to perfection. Then we add the tang of sour cream and mild onions. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on: facebook.com/lays. Visit our website at fritolay.com. No artificial flavors. No preservatives.
",9.5 oz,1,bag,,No Artificial Flavors; No Preservatives,MASKED,,,,
028400160162,Lay's® Cheddar & Sour Cream Flavored Potato Chips 9.5 Oz. Bag,"Guaranteed fresh until printed date. Good fun! It all starts with farm-grown potatoes - cooked and seasoned to perfection. Then we add the tang of sour cream and sharp cheddar. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on: facebook.com/lays. No artificial flavors. No preservatives. Visit our website at fritolay.com.
",9.5 oz,1,bag,,No Artificial Flavors; No Preservatives,MASKED,,,,
028400160186,Lay's® Salt & Vinegar Potato Chips 9.5 oz. Bag,"Guaranteed fresh until printed date. Good fun! It all starts with farm-grown potatoes - cooked and seasoned to perfection. Then we add just the right balance of tangy vinegar. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on: facebook.com/lays. Visit our website at fritolay.com. No artificial flavors. No preservatives. 0 g trans fat.
",9.5 oz,1,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,MASKED,,,,
028400160193,Lay's® Lightly Salted Potato Chips 9.5 oz. Bag,"50% less sodium than Lay's Brand Classic Potato Chips. Guaranteed fresh until printed date. Product Comparison per 1 oz Serving: Lay's Brand Lightly Salted Potato Chips: 85 mg sodium, 100% taste; Lay's Brand Classic Potato Chips: 170 mg sodium, 100% taste. Not a low sodium food. Good fun! It all starts with farm-grown potatoes - cooked to perfection and lightly salted. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Visit our website at fritolay.com.  Find us on: facebook.com/lays. No artificial flavors. No preservatives. 0 g trans fat. Gluten free.",9.5 oz,1,bag,,Gluten-Free; No Artificial Flavors; No Preservatives; Trans-Fat-Free,MASKED,,,,
028400160193,Lay's® Lightly Salted Potato Chips 9.5 oz. Bag,"50% less sodium than Lay's Brand Classic Potato Chips. Guaranteed fresh until printed date. Product Comparison per 1 oz Serving: Lay's Brand Lightly Salted Potato Chips: 85 mg sodium, 100% taste; Lay's Brand Classic Potato Chips: 170 mg sodium, 100% taste. Not a low sodium food. Good fun! It all starts with farm-grown potatoes - cooked to perfection and lightly salted. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Visit our website at fritolay.com.  Find us on: facebook.com/lays. No artificial flavors. No preservatives. 0 g trans fat. Gluten free.",9.5 oz,1,bag,,Gluten-Free; No Artificial Flavors; No Preservatives; Trans-Fat-Free,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,,https://m.media-amazon.com/images/I/91hKeVyNZ2L._SL1500_.jpg,B008B36ZYS
028400160193,Lay's® Lightly Salted Potato Chips 9.5 oz. Bag,"50% less sodium than Lay's Brand Classic Potato Chips. Guaranteed fresh until printed date. Product Comparison per 1 oz Serving: Lay's Brand Lightly Salted Potato Chips: 85 mg sodium, 100% taste; Lay's Brand Classic Potato Chips: 170 mg sodium, 100% taste. Not a low sodium food. Good fun! It all starts with farm-grown potatoes - cooked to perfection and lightly salted. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Visit our website at fritolay.com.  Find us on: facebook.com/lays. No artificial flavors. No preservatives. 0 g trans fat. Gluten free.",9.5 oz,1,bag,,Gluten-Free; No Artificial Flavors; No Preservatives; Trans-Fat-Free,Walmart,"Food > Snacks, Cookies & Chips > Chips > Shop All Lay's Potato Chips","9,9",https://i5.walmartimages.com/seo/Lay-s-Lightly-Salted-Potato-Chips-9-5-oz_0479a69c-a7fe-48b1-b1da-e8cd799a5732_1.53f9181ffbd1bcfa72b6297f69eae9c2.jpeg,23788116
028400160209,Lay's Wavy Original Potato Chips 10 oz (Pack of 6),"Lay's Wavy Original Potato Chips 10 oz (Pack of 6)
0 grams trans fat. No msg; no preservatives; no artificial flavors. Made with all natural ingredients",10 oz,6,bag,,Trans-Fat-Free; MSG-Free; No Preservatives; No Artificial Flavors; All Natural,MASKED,,,,
028400160209,Lay's Wavy Original Potato Chips 10 oz (Pack of 6),"Lay's Wavy Original Potato Chips 10 oz (Pack of 6)
0 grams trans fat. No msg; no preservatives; no artificial flavors. Made with all natural ingredients",10 oz,6,bag,,Trans-Fat-Free; MSG-Free; No Preservatives; No Artificial Flavors; All Natural,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,,https://m.media-amazon.com/images/I/41PK6gLT6LL.jpg,B00HSNOW7Y
028400160216,Lay's® Wavy Ranch Flavored Potato Chips 9.5 oz. Bag,"Wherever celebrations and good times happen, the LAY'S brand will be there to flavor the moment. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.
9.5 oz bag of WAVY LAY'S Ranch flavored potato chips
Delicious wavy potato chips perfect for dipping
",9.5 oz,1,bag,,,MASKED,,,,
028400160223,Lay's® Classic BLT Potato Chips 9.5 oz. Bag,"Lay's® Classic BLT Flavored Potato Chips. Guaranteed fresh until printed date.
Frito Lay® good fun! It all starts with farm-grown potatoes - then our chefs add a delicious blend of bacon, ripe tomatoes and cool lettuce for the classic taste of a fresh-made BLT. So every Lay's® potato chip is perfectly crispy and full of fresh potato taste. Happiness in every Bite®. No artificial flavors. No preservatives. 0g trans fat. Questions or comments 1-800-352-4477 weekdays 9:00am to 4:30pm CST. Guaranteed fresh until printed date or this snack's on us. Visit our website @ fritolay.com. ©2010 Frito-Lay, North America, Inc.
",9.5 oz,1,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,MASKED,,,,
028400160247,Lay's® Limón Flavored Potato Chips 9.5 oz. Bag,Flavored potato chips. Guaranteed fresh until printed date or this snack's on us. Good fun! It all starts with farm-grown potatoes cooked and seasoned to perfection. Then we add the zing of real lime. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on facebook.com/lays. No artificial flavors. No preservatives. 0 g trans fat. Visit our website at fritolay.com.,9.5 oz,1,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,MASKED,,,,
028400160247,Lay's® Limón Flavored Potato Chips 9.5 oz. Bag,Flavored potato chips. Guaranteed fresh until printed date or this snack's on us. Good fun! It all starts with farm-grown potatoes cooked and seasoned to perfection. Then we add the zing of real lime. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on facebook.com/lays. No artificial flavors. No preservatives. 0 g trans fat. Visit our website at fritolay.com.,9.5 oz,1,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,Amazon,,,https://m.media-amazon.com/images/I/91vgIZDAs5L._SL1500_.jpg,B00CNZTOSY
028400160254,"Frito Lay, Lay's Flamin' Hot Potato Chips, 7.75oz Bag (Pack of 3)",Guaranteed fresh until printed date. Good fun! It all starts with farm-grown potatoes - cooked and seasoned to perfection. Then we added the fiery heat of chiles and seasonings. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on: facebook.com/lays. Visit our website at fritolay.com. No artificial flavors. No preservatives. 0 g trans fat.,7.75 oz,3,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,MASKED,,,,
028400160254,"Frito Lay, Lay's Flamin' Hot Potato Chips, 7.75oz Bag (Pack of 3)",Guaranteed fresh until printed date. Good fun! It all starts with farm-grown potatoes - cooked and seasoned to perfection. Then we added the fiery heat of chiles and seasonings. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on: facebook.com/lays. Visit our website at fritolay.com. No artificial flavors. No preservatives. 0 g trans fat.,7.75 oz,3,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,,https://m.media-amazon.com/images/I/91JR3XQqo7L._SL1500_.jpg,B0080YH0H4
028400160261,Lay's® Chile Limón Flavored Potato Chips 9.5 oz. Bag,"Wherever celebrations and good times happen, the LAY'S brand will be there to flavor the moment. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.
9.5 oz bag of LAY'S Chile Limon flavored potato chips
LAY'S potato chips with a flavor that you know and love
",9.5 oz,1,bag,,,MASKED,,,,
028400160278,Lay's® Sweet Southern Heat Barbecue Flavored Potato Chips 9.5 oz. Bag,Guaranteed fresh. Good fun! It all starts with farm-grown potatoes - cooked and seasoned to perfection. Then we add the sweet heat of Southern BBQ. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on: facebook.com/lays. No artificial flavors. No preservatives. 0 g trans fat. Visit our website at fritolay.com.,9.5 oz,1,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,MASKED,,,,
028400160278,Lay's® Sweet Southern Heat Barbecue Flavored Potato Chips 9.5 oz. Bag,Guaranteed fresh. Good fun! It all starts with farm-grown potatoes - cooked and seasoned to perfection. Then we add the sweet heat of Southern BBQ. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on: facebook.com/lays. No artificial flavors. No preservatives. 0 g trans fat. Visit our website at fritolay.com.,9.5 oz,1,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,,https://m.media-amazon.com/images/I/318-VzvdBkL.jpg,B00E83X3UO
028400160285,Lay's® Dill Pickle Potato Chips 9.5 oz. Bag,"Guaranteed fresh. Good fun! It all starts with farm-grown potatoes - cooked and seasoned to perfection. Then we add the flavor of dill pickles. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on: facebook.com/lays. No artificial flavors. No preservatives. 0 g trans fat. Visit our website at fritolay.com.
",9.5 oz,1,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,MASKED,,,,
028400160537,Lay's® Honey Barbecue Potato Chips 9.5 Oz. Bag,"Guaranteed fresh. It all starts with farm-grown potatoes - cooked and seasoned to perfection. Then we add the sweet taste of honey and the spicy kick of BBQ sauce. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on: facebook.com/lays. No artificial flavors, No preservatives. 0 g trans fat. Visit our website at fritolay.com.
",9.5 oz,1,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,MASKED,,,,
028400160544,Lay's® Spicy Ketchup Flavored Potato Chips 9.5 oz. Bag,,9.5 oz,1,bag,,,MASKED,,,,
028400160551,Lay's Deli Style Potato Chips Original 9.5 Ounce Bag,"Wherever celebrations and good times happen, the LAY'S brand will be there to flavor the moment. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.
",9.5 oz,1,bag,,,MASKED,,,,
028400160643,Lay's® Wavy Au Gratin Flavored Potato Chips 9.5 oz. Bag,"Give your taste buds something to talk about. Savor the combination of melted cheese and Lay's® Wavy Chips the perfect accomplice to ultimate satisfaction. Lay's® Wavy Chips a lotta bit of yum in every bite™.
No Artificial Flavors
No Preservatives
",9.5 oz,1,bag,,No Artificial Flavors; No Preservatives,MASKED,,,,
028400160674,Lay's Wavy Hickory BBQ Potato Chips 9.5 Ounce Bag,"Wherever celebrations and good times happen, the LAY'S brand will be there to flavor the moment. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.",9.5 oz,1,bag,,,MASKED,,,,
028400160674,Lay's Wavy Hickory BBQ Potato Chips 9.5 Ounce Bag,"Wherever celebrations and good times happen, the LAY'S brand will be there to flavor the moment. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.",9.5 oz,1,bag,,,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,,https://m.media-amazon.com/images/I/81S2NVMvUYL._SL1500_.jpg,B00H3SRWHQ
028400160889,Lay's Potato Chips Garden Tomato & Basil,"Lay's® Brand Garden Tomato & Basil Flavored Potato Chips.
It all starts with farm-grown potatoes - cooked and seasoned to perfection. Then our chefs add the just-picked flavor of ripe garden tomato & basil. So every Lay's® potato chip is perfectly crispy and delicious. Happiness in Every Bite®. No artificial flavors. No preservatives. 0g trans fat. Recipe: Taste the inspiration. Find our easy-to-make recipe for tomato & basil soup at: www.lays.com. Questions or comments 1-800-352-4477 weekdays 9:00AM to 4:30PM central time. Visit our website @ fritolay.com. ©2010 Frito-Lay, North America, Inc.
",9.5 oz,1,bag,,No Artificial Flavors; No Preservatives; Trans-Fat-Free,MASKED,,,,
028400161770,Lays Tangy Carolina,"LAYS TANGY CAROLINA BBQ
",9.5 oz,1,bag,,,MASKED,,,,
028400161886,"Lay's Honey Barbecue Potato Chips, 1.125 oz","It's funny how something as simple as a bowl of chips can bring people together. Whether it's party time or family time, everyone loves gathering around the chip bowl. With conversations swirling and laughter all around, each bag of Lay's Honey BBQ Flavor Potato Chips is an opportunity to make memories. Delicious Lay's crunchy snack Sweet barbecue flavor Delicious snack for any time",1.125 oz,1,bag,,,MASKED,,,,
028400161886,"Lay's Honey Barbecue Potato Chips, 1.125 oz","It's funny how something as simple as a bowl of chips can bring people together. Whether it's party time or family time, everyone loves gathering around the chip bowl. With conversations swirling and laughter all around, each bag of Lay's Honey BBQ Flavor Potato Chips is an opportunity to make memories. Delicious Lay's crunchy snack Sweet barbecue flavor Delicious snack for any time",1.125 oz,1,bag,,,Kroger,,,https://www.kroger.com/product/images/medium/front/0002840016188,0002840016188
028400161893,Lay's Potato Chips Barbecue 1 1/8 Oz,"Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.
",1.125 oz,1,bag,,,MASKED,,,,
028400161909,Lay's Classic Potato Chips 1.125 Oz,"Gluten free. Partially production with genetic engineering. fritolay.com. Facebook. Find us on: facebook.com/ fritolay. Questions or comments? Weekdays 9:00am to 4:30pm CT 800-352-4477/email or chat at fritolay.com.
",1.125 oz,1,bag,,Gluten-Free,MASKED,,,,
028400161916,Lay's® Sweet Southern Heat Barbeque Flavored Potato Chips 2/$1 or 59¢ ea. Prepriced 1.13 oz. Bag,"Partially produced with genetic engineering. fritolay. fritolay.com. Facebook. Find us on: Facebook.com/fritolay. Questions or Comments? Weekdays 9:00 AM to 4:30 PM CT 1-800-352-4477/email or chat at fritolay.com.
",1.13 oz,1,bag,,,MASKED,,,,
028400161978,Lay's® Flamin' Hot® Flavored Potato Chips 2/$1 or 59¢ ea. Prepriced 1.13 oz. Bag,"Guaranteed fresh until printed date. Good fun! Find us on: facebook.com/fritolay. Visit our website fritolay.com.
",1.13 oz,1,bag,,,MASKED,,,,
028400161985,Lays Sour Cream and Onion Potato Chips 1.125 Ounces,"Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.
",1.12 oz,1,bag,,,MASKED,,,,
028400161992,Lay's Potato Chips Salt & Vinegar 1 1/8 Oz,"Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.
",1.125 oz,1,bag,,,MASKED,,,,
028400162500,Funyuns Onion flavored rings 15 ounces ( 3 pack),,15 oz,3,bag,,,Amazon,,"38,8",https://m.media-amazon.com/images/I/51XlT1+U2rS.jpg,B0967KFDV5
028400164726,Lay's Barbecue Chips Party Size 13.25oz (Pack of 2),"Guaranteed fresh until printed date. Good fun! It all starts with farm-grown potatoes, cooked and seasoned to perfection. Then we add the spicy sweet flavors of BBQ sauce. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on facebook.com/lays. Visit our website at fritolay.com. No artificial flavors. No preservatives.",13.25 oz,2,bag,,No Artificial Flavors; No Preservatives,MASKED,,,,
028400164726,Lay's Barbecue Chips Party Size 13.25oz (Pack of 2),"Guaranteed fresh until printed date. Good fun! It all starts with farm-grown potatoes, cooked and seasoned to perfection. Then we add the spicy sweet flavors of BBQ sauce. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on facebook.com/lays. Visit our website at fritolay.com. No artificial flavors. No preservatives.",13.25 oz,2,bag,,No Artificial Flavors; No Preservatives,Amazon,,,https://m.media-amazon.com/images/I/51HAeyKt9dL.jpg,B00TWG0CV0
028400164733,Lay's Classic Party Size 13.75oz (2 Pack),"Guaranteed fresh until printed date. Good fun! It all starts with farm-grown potatoes, cooked and seasoned to perfection. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on facebook.com/lays. Visit our website at fritolay.com. No artificial flavors. No preservatives. Gluten free.",13.75 oz,2,bag,,No Artificial Flavors; No Preservatives; Gluten-Free,MASKED,,,,
028400164733,Lay's Classic Party Size 13.75oz (2 Pack),"Guaranteed fresh until printed date. Good fun! It all starts with farm-grown potatoes, cooked and seasoned to perfection. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on facebook.com/lays. Visit our website at fritolay.com. No artificial flavors. No preservatives. Gluten free.",13.75 oz,2,bag,,No Artificial Flavors; No Preservatives; Gluten-Free,Amazon,,"25,64",https://m.media-amazon.com/images/I/41IqmYRPvkL.jpg,B00TWXASOE
028400164733,Lay's Classic Party Size 13.75oz (2 Pack),"Guaranteed fresh until printed date. Good fun! It all starts with farm-grown potatoes, cooked and seasoned to perfection. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Find us on facebook.com/lays. Visit our website at fritolay.com. No artificial flavors. No preservatives. Gluten free.",13.75 oz,2,bag,,No Artificial Flavors; No Preservatives; Gluten-Free,Walmart,"Food > Snacks, Cookies & Chips > Chips > Shop All Lay's Potato Chips","3,98",https://i5.walmartimages.com/seo/Lay-s-Classic-Potato-Chips-13-75-Oz_83494179-c925-4a4c-8689-2a41d28e292b_1.60f2d1ffee7bd7441aa217f32988c633.jpeg,24529927
028400164948,"Lays Potato Chips, Wavy, Original, Party Size!","Guaranteed fresh until printed date. Lay's Wavy Chips: A lotta bit of yum in every bite. Connect with us. Visit our website at fritolay.com. No artificial flavors. No preservatives. No MSG. Gluten free.
",13.75 oz,1,bag,,No Artificial Flavors; No Preservatives; MSG-Free; Gluten-Free,MASKED,,,,
028400164955,Lay's® Party Size! Sour Cream & Onion Potato Chips 13.25 oz. Bag,"Guaranteed fresh until printed date. Questions or comments? 1-800-352-4477. Guaranteed fresh until printed date or this snack's on us. Weekdays 9:00 am to 4:30 pm Central Time. Good fun! It all stars with farm-grown potatoes - cooked and seasoned to perfections. Then we add the tang of sour cream and milk onions. so every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite. Facebook: Find us on: facebook.com/lays. Visit our website at fritolay.com. No artificial flavors. No preservatives.
",13.25 oz,1,bag,,No Artificial Flavors; No Preservatives,MASKED,,,,
028400168748,"Miss Vickie's Jalapeno Flavored Kettle Cooked Potato Chips, 8 oz Bag","Made with jalapenos for enough flavorful heat to make things deliciously interesting. And every spicy bite is made with no artificial flavors or preservatives.
* Kettle cooked potato chips * Delicious jalapeno flavor * No artificial preservatives or flavors * Large bag is perfect for sharing",8 oz,1,bag,,No Artificial Preservatives; No Artificial Flavors,Walmart,Home Page > Shop by Brand > Food & Grocery > Frito-Lay,,,302010031
028400170628,Lay's® Dill Pickle Flavored Potato Chips 1.5 Ounce (Case of 64),"It all starts with farm-grown potatoes, cooked and seasoned to perfection. Then we add the flavor of dill pickle. So every LAY'S potato chip is perfectly crispy and delicious. Happiness in Every Bite.
* 1.5 Ounce Bags * Individually Packaged Case of 64 * Great for Retail * Delicious Dill Pickle Flavor",1.5 oz,64,bag,,,Walmart,"Food > Snacks, Cookies & Chips > Chips > Shop All Lay's Potato Chips","69,99",https://i5.walmartimages.com/asr/e68f45fa-2369-4d1b-a479-d7603d6b90b5.cbd4474ca135806ac3300093e0c1ecd0.jpeg,1291584776
028400170772,Lay's Poppables Creamy Jalapeno Potato Chips - 5oz,"There's something about the light texture & airy, crispy crunch of Lay's Poppables that makes you go ""mmmm"". It could be the bite-sized perfectly popped shape. Or maybe that it's deliciously seasoned with flavor, both inside & out. Either way, we think you'll find this one-of-a-kind potato snack oh so poppable and with about 28 pieces per serving, pretty perfect.
Includes 1 (5oz) bag of Lay's Poppables, Creamy Jalapeno flavor Deliciously seasoned with tangy creamy jalapeno flavor both inside & out Oh so poppable with about 28 pieces per serving Deliciously seasoned with tangy creamy jalapeno flavor both inside & out One pop and you're in love ['Contains: Milk', 'May Contain: Wheat', 'Form: Pieces', 'State of Readiness: Ready to Eat', 'Package Quantity: 1', 'Package type: Individual Item Multi-Serving', 'Net weight: 5 Ounces']",5 oz,1,bag,,,MASKED,,,,
028400170772,Lay's Poppables Creamy Jalapeno Potato Chips - 5oz,"There's something about the light texture & airy, crispy crunch of Lay's Poppables that makes you go ""mmmm"". It could be the bite-sized perfectly popped shape. Or maybe that it's deliciously seasoned with flavor, both inside & out. Either way, we think you'll find this one-of-a-kind potato snack oh so poppable and with about 28 pieces per serving, pretty perfect.
Includes 1 (5oz) bag of Lay's Poppables, Creamy Jalapeno flavor Deliciously seasoned with tangy creamy jalapeno flavor both inside & out Oh so poppable with about 28 pieces per serving Deliciously seasoned with tangy creamy jalapeno flavor both inside & out One pop and you're in love ['Contains: Milk', 'May Contain: Wheat', 'Form: Pieces', 'State of Readiness: Ready to Eat', 'Package Quantity: 1', 'Package type: Individual Item Multi-Serving', 'Net weight: 5 Ounces']",5 oz,1,bag,,,GiantFood,Global Primary Category > Snacks & Candy > Chips > Potato Chips > Hot & Spicy Potato Chips,,,258615
028400170772,Lay's Poppables Creamy Jalapeno Potato Chips - 5oz,"There's something about the light texture & airy, crispy crunch of Lay's Poppables that makes you go ""mmmm"". It could be the bite-sized perfectly popped shape. Or maybe that it's deliciously seasoned with flavor, both inside & out. Either way, we think you'll find this one-of-a-kind potato snack oh so poppable and with about 28 pieces per serving, pretty perfect.
Includes 1 (5oz) bag of Lay's Poppables, Creamy Jalapeno flavor Deliciously seasoned with tangy creamy jalapeno flavor both inside & out Oh so poppable with about 28 pieces per serving Deliciously seasoned with tangy creamy jalapeno flavor both inside & out One pop and you're in love ['Contains: Milk', 'May Contain: Wheat', 'Form: Pieces', 'State of Readiness: Ready to Eat', 'Package Quantity: 1', 'Package type: Individual Item Multi-Serving', 'Net weight: 5 Ounces']",5 oz,1,bag,,,Target,"Grocery > Chips, Snacks & Cookies",,,54217891
028400170772,Lay's Poppables Creamy Jalapeno Potato Chips - 5oz,"There's something about the light texture & airy, crispy crunch of Lay's Poppables that makes you go ""mmmm"". It could be the bite-sized perfectly popped shape. Or maybe that it's deliciously seasoned with flavor, both inside & out. Either way, we think you'll find this one-of-a-kind potato snack oh so poppable and with about 28 pieces per serving, pretty perfect.
Includes 1 (5oz) bag of Lay's Poppables, Creamy Jalapeno flavor Deliciously seasoned with tangy creamy jalapeno flavor both inside & out Oh so poppable with about 28 pieces per serving Deliciously seasoned with tangy creamy jalapeno flavor both inside & out One pop and you're in love ['Contains: Milk', 'May Contain: Wheat', 'Form: Pieces', 'State of Readiness: Ready to Eat', 'Package Quantity: 1', 'Package type: Individual Item Multi-Serving', 'Net weight: 5 Ounces']",5 oz,1,bag,,,Walmart,Home Page > Shop by Brand > Food & Grocery > Frito-Lay,,,881852669
028400175142,Lay's Barbecue Potato Chips (15.5 Ounce),"Wherever celebrations and good times happen, Lay's will be there just as it has been for more than 75 years. With flavors almost as rich as their history, they have a chip or crisp flavor guaranteed to bring a smile on your face.
* Potato Chips, Barbecue Flavored * No artificial flavors. Mix and match. Saucy. Smoky. Crispy. Flavorful. Lays.com. Facebook. Twitter. SmartLabel: Scan for more food information. 1-800-352-4477 call for more food information. Questions or comments? 1-800-352-4477 Mon-Fri 9:00am to 4:30pm CT email or chat at fritolay.com. Find us on Lays.com.",15.5 oz,1,bag,,No Artificial Flavors,MASKED,,,,
028400175142,Lay's Barbecue Potato Chips (15.5 Ounce),"Wherever celebrations and good times happen, Lay's will be there just as it has been for more than 75 years. With flavors almost as rich as their history, they have a chip or crisp flavor guaranteed to bring a smile on your face.
* Potato Chips, Barbecue Flavored * No artificial flavors. Mix and match. Saucy. Smoky. Crispy. Flavorful. Lays.com. Facebook. Twitter. SmartLabel: Scan for more food information. 1-800-352-4477 call for more food information. Questions or comments? 1-800-352-4477 Mon-Fri 9:00am to 4:30pm CT email or chat at fritolay.com. Find us on Lays.com.",15.5 oz,1,bag,,No Artificial Flavors,Walmart,"Food > Snacks, Cookies & Chips > Chips > Lay's Barbecue Chips","13,89",https://i5.walmartimages.com/asr/57924120-4515-4877-bfda-a6c6bbf353b7_1.b37fc9d22a61b36de99b1cd01796b166.jpeg,297523129
028400175227,Lay's Classic Potato Chips (15.875 Ounce),"Wherever celebrations and good times happen, the Lay's brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a potato chip or crisp flavor guaranteed to bring a smile on your face.",15.88 oz,1,bag,,,MASKED,,,,
028400175227,Lay's Classic Potato Chips (15.875 Ounce),"Wherever celebrations and good times happen, the Lay's brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a potato chip or crisp flavor guaranteed to bring a smile on your face.",15.88 oz,1,bag,,,Walmart,"Food > Snacks, Cookies & Chips > Chips > Shop All Lay's Potato Chips","11,15",https://i5.walmartimages.com/seo/Lay-s-Classic-Potato-Chips-15-875-Ounce_74a4dc79-5c52-42fd-9ba1-14d3e1f1b4be_1.c3b8a6862b75b2163d5b1e405923f8c5.jpeg,949276564
028400175289,Lay's Potato Chips Sour Cream & Onion Flavored 15 1/2 Oz,"Wherever celebrations and good times happen, the Lay's brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a potato chip or crisp flavor guaranteed to bring a smile on your face.
",15.5 oz,1,bag,,,MASKED,,,,
